"vote","black","hisp","pid7","income","age","educ_attain"
1,0,0,6,28,37,2
0,0,0,1,24,64,5
1,0,0,7,14,64,5
0,0,0,4,26,61,2
0,1,0,1,15,36,5
1,0,0,7,11,67,4
1,0,0,7,11,82,3
1,0,0,6,15,45,2
1,0,1,6,15,33,3
0,0,0,3,15,59,5
0,1,0,1,7,57,2
0,0,0,1,6,84,3
1,0,0,7,3,64,3
1,0,0,5,7,66,4
0,0,0,4,3,20,2
1,0,0,7,25,49,5
1,0,0,4,2,60,4
0,0,0,1,23,44,2
1,0,0,7,17,65,4
1,0,0,4,10,35,3
0,0,1,2,14,48,4
0,0,1,1,1,62,1
0,0,0,3,24,69,4
1,0,0,7,13,68,3
1,0,0,4,3,73,1
1,0,0,7,12,58,3
1,0,0,1,9,54,3
1,0,0,6,12,50,2
1,0,1,5,17,69,3
0,1,0,2,19,56,3
0,0,0,1,22,53,5
0,1,0,1,25,60,4
0,0,1,3,1,58,3
0,0,0,4,15,31,4
1,0,0,6,13,33,3
1,0,0,4,21,48,5
1,0,0,6,1,46,4
0,1,0,1,21,32,3
0,0,0,1,18,35,4
0,0,0,1,22,80,3
1,0,0,7,1,31,3
0,0,0,2,15,65,2
0,1,0,1,8,40,4
1,0,0,6,3,58,1
1,0,0,6,26,43,5
0,0,0,1,11,36,2
1,0,0,7,23,49,5
1,0,0,5,28,20,3
1,0,0,7,27,56,3
0,0,1,1,6,19,3
0,0,0,2,27,39,5
1,0,0,5,28,59,5
0,0,0,3,25,41,5
1,0,0,6,21,39,5
0,1,0,1,1,33,3
0,0,0,3,13,35,4
1,0,0,7,19,59,2
1,0,0,7,26,85,3
1,0,0,7,14,74,2
0,0,0,2,13,31,3
0,0,1,2,7,21,3
1,0,0,7,17,68,4
1,0,0,4,21,56,5
0,0,0,1,28,32,4
0,0,0,6,28,63,5
0,0,0,1,3,40,2
0,0,0,3,3,33,5
1,0,0,3,15,55,2
1,0,0,7,16,69,1
0,1,0,1,15,86,2
1,0,0,7,13,80,2
0,0,0,1,8,61,3
0,1,0,1,12,63,2
0,0,0,3,17,71,3
0,0,0,4,12,61,3
1,0,0,7,13,62,2
1,0,0,7,15,71,4
0,0,0,1,17,34,5
0,0,0,1,21,61,4
1,0,0,5,9,49,4
1,0,0,7,9,61,2
1,0,0,6,23,39,4
0,0,0,3,27,20,3
0,1,0,2,11,30,3
1,0,0,7,15,72,4
0,0,0,1,28,76,4
0,1,0,1,23,41,3
0,1,0,1,22,50,5
0,0,0,1,10,73,3
1,0,0,5,27,67,4
0,0,0,3,1,24,4
1,0,0,7,19,59,3
1,0,0,2,2,34,2
0,0,0,1,27,57,3
0,0,0,2,14,35,4
0,0,0,2,27,67,4
0,0,0,1,10,21,2
0,0,1,2,17,20,3
0,0,0,3,21,40,4
1,0,0,7,12,58,3
1,0,0,7,3,81,2
0,1,0,2,2,61,3
0,0,0,6,11,55,2
1,0,0,7,9,62,3
0,0,0,2,21,36,4
0,1,0,2,5,25,4
0,0,0,2,8,71,2
1,0,0,6,23,63,3
1,0,0,6,17,20,2
1,0,0,4,23,32,3
0,0,0,1,24,39,5
1,0,0,7,21,52,3
0,1,0,1,23,65,5
0,0,0,2,9,21,3
1,0,0,6,15,60,3
1,0,0,7,12,63,2
1,0,0,6,21,57,3
0,0,1,1,1,51,2
0,0,0,2,27,67,4
0,0,0,3,13,29,4
1,0,0,4,12,66,2
1,0,0,5,11,61,4
0,0,1,2,22,21,3
1,0,0,4,22,35,2
1,0,0,7,18,30,3
1,0,0,7,14,88,5
1,0,0,7,17,57,3
0,0,0,2,15,64,4
1,0,0,5,15,63,3
0,0,0,1,27,41,4
1,0,0,6,25,62,4
0,1,0,1,17,83,1
1,0,1,7,19,49,3
1,0,0,7,20,65,3
0,0,0,1,16,37,4
0,0,0,1,26,56,4
0,0,0,3,20,53,4
1,0,0,5,24,60,5
1,0,0,4,11,46,3
0,0,0,6,14,33,4
1,0,0,2,4,72,5
1,0,0,7,13,71,3
